              n         method            avg            max            min            std
              4              S       0.000005       0.000010       0.000004       0.000001
              4              C       0.000169       0.000194       0.000147       0.000012
              8              S       0.000024       0.000027       0.000024       0.000001
              8              C       0.000321       0.000355       0.000303       0.000013
             16              S       0.000164       0.000167       0.000162       0.000001
             16              C       0.000465       0.000589       0.000427       0.000032
             32              S       0.001231       0.001247       0.001227       0.000005
             32              C       0.000907       0.001058       0.000828       0.000056
             64              S       0.009583       0.009623       0.009570       0.000012
             64              C       0.001866       0.002421       0.001755       0.000142
            128              S       0.076532       0.076629       0.076520       0.000023
            128              C       0.007691       0.008160       0.007238       0.000243
            256              S       0.669345       0.670536       0.669028       0.000384
            256              C       0.048614       0.049196       0.047856       0.000389
            512              S       5.971882       5.975973       5.970818       0.001307
            512              C       0.397529       0.399235       0.396191       0.000813
           1024              S      46.783193      47.694943      46.600698       0.362861
           1024              C       3.031977       3.033431       3.030100       0.000887
           2048              S     365.726821     367.283736     364.649253       0.590255
           2048              C      23.907289      23.915466      23.900950       0.003476
